10.0006,2.6954,0.2695,26.9552,3297.5732,10.3351,   0:19:47,
10.0006,2.6813,0.2681,26.8142,3325.7849,10.4110,   0:19:57,
10.0006,2.6670,0.2667,26.6719,3354.0413,10.4865,   0:20: 8,
10.0008,2.6528,0.2653,26.5300,3382.2534,10.5616,   0:20:18,
10.0007,2.6386,0.2638,26.3880,3410.4097,10.6360,   0:20:28,
10.0007,2.6245,0.2624,26.2465,3438.6108,10.7103,   0:20:38,
10.0005,2.6107,0.2611,26.1081,3466.8113,10.7841,   0:20:48,
10.0006,2.5965,0.2596,25.9666,3495.0122,10.8575,   0:20:58,
10.0006,2.5830,0.2583,25.8310,3523.2239,10.9306,   0:21: 9,
10.0006,2.5699,0.2570,25.7010,3551.3801,11.0031,   0:21:19,
10.0008,2.5573,0.2557,25.5750,3579.5813,11.0754,   0:21:29,
10.0006,2.5449,0.2545,25.4510,3607.7380,11.1472,   0:21:39,
10.0007,2.5328,0.2533,25.3296,3635.9504,11.2188,   0:21:49,
10.0006,2.5201,0.2520,25.2031,3664.1072,11.2900,   0:21:59,
10.0006,2.5074,0.2507,25.0758,3692.2644,11.3608,   0:22: 9,
