11/08/2021/18/10/49,4,4,15.03,3.472,3.4756,3.4737,3.4731,0,22.4,22.4,22.1,22.7,19.07,0.0,13.89
11/08/2021/18/10/59,4,4,15.07,3.4721,3.4757,3.4739,3.4732,0,22.7,23,22.4,22.4,19.06,0.0,13.89
11/08/2021/18/11/09,4,4,15.09,3.4721,3.4759,3.4739,3.4734,0,22.1,23,22.4,23,19.05,0.0,13.9
11/08/2021/18/11/19,4,4,15.15,3.4721,3.4759,3.4739,3.4736,0,22.1,22.4,22.1,23,19.03,0.0,13.9
11/08/2021/18/11/29,4,4,15.04,3.4723,3.476,3.4739,3.4737,0,22.7,22.7,22.1,23,19.09,0.0,13.9
11/08/2021/18/11/39,4,4,15.02,3.4724,3.4762,3.474,3.4739,0,22.4,23,22.7,23,19.1,0.0,13.9
11/08/2021/18/11/49,4,4,15.11,3.4726,3.4762,3.474,3.474,0,22.1,22.4,22.7,22.7,19.08,0.0,13.9
11/08/2021/18/11/59,4,4,15.15,3.4727,3.4763,3.4741,3.474,0,22.4,22.4,22.4,22.7,19.07,0.0,13.9
11/08/2021/18/12/09,4,4,15.11,3.4727,3.4764,3.4743,3.4742,0,22.1,23,22.7,23,19.08,0.0,13.9
11/08/2021/18/12/19,4,4,15.05,3.4728,3.4765,3.4743,3.4743,0,22.4,23,22.7,22.4,19.11,0.0,13.9
11/08/2021/18/12/29,4,4,15.07,3.473,3.4766,3.4744,3.4744,0,22.4,22.4,22.4,22.4,19.12,0.0,13.9
11/08/2021/18/12/39,4,4,15.12,3.4732,3.4767,3.4746,3.4744,0,22.7,22.4,22.1,22.7,19.11,0.0,13.9
11/08/2021/18/12/49,4,4,15.14,3.4732,3.4768,3.4747,3.4745,0,22.4,22.4,22.4,23,19.1,0.0,13.9
11/08/2021/18/12/59,4,4,15.16,3.4733,3.4769,3.4749,3.4747,0,22.7,22.7,22.1,22.7,19.1,0.0,13.9
11/08/2021/18/13/09,4,4,15.16,3.4733,3.477,3.4749,3.4749,0,22.7,23,22.1,23,19.1,0.0,13.9
11/08/2021/18/13/19,4,4,15.17,3.4735,3.4771,3.475,3.475,0,22.1,22.7,22.7,22.7,19.11,0.0,13.9
11/08/2021/18/13/29,4,4,15.03,3.4735,3.4773,3.475,3.4751,0,22.7,22.4,22.7,22.4,19.16,0.0,13.9
11/08/2021/18/13/39,4,4,15.04,3.4735,3.4775,3.4752,3.4751,0,22.7,22.4,22.7,22.7,19.16,0.0,13.9
11/08/2021/18/13/49,4,4,15.11,3.4736,3.4775,3.4752,3.4751,0,22.4,22.4,22.4,22.7,19.14,0.0,13.9
11/08/2021/18/13/59,4,4,15.09,3.4737,3.4777,3.4752,3.4753,0,22.7,22.4,22.7,22.7,19.15,0.0,13.9
11/08/2021/18/14/09,4,4,15.16,3.4738,3.4778,3.4754,3.4755,0,22.1,22.4,22.1,23,19.13,0.0,13.9
11/08/2021/18/14/19,4,4,15.16,3.474,3.4779,3.4756,3.4756,0,22.4,23,22.1,23,19.14,0.0,13.9
11/08/2021/18/14/29,4,4,15.06,3.4742,3.478,3.4757,3.4757,0,22.1,22.4,22.7,22.7,19.19,0.0,13.9
11/08/2021/18/14/40,4,4,15.07,3.4743,3.4781,3.4757,3.4757,0,22.4,22.7,22.4,22.7,19.2,0.0,13.9
11/08/2021/18/14/50,4,4,15.17,3.4745,3.4783,3.4759,3.4757,0,22.1,22.7,22.1,22.7,19.17,0.0,13.9
11/08/2021/18/15/00,4,4,15.11,3.4747,3.4785,3.4761,3.4759,0,22.7,23,22.7,22.7,19.21,0.0,13.91
11/08/2021/18/15/10,4,4,15.03,3.4748,3.4786,3.4762,3.4761,0,22.4,23,22.1,23,19.24,0.0,13.91
11/08/2021/18/15/20,4,4,15.04,3.4748,3.4787,3.4762,3.4762,0,22.4,23,22.7,23,19.24,0.0,13.91
11/08/2021/18/15/30,4,4,15.15,3.475,3.4789,3.4764,3.4764,0,22.1,22.7,22.7,23,19.21,0.0,13.91
11/08/2021/18/15/40,4,4,15.16,3.4751,3.4789,3.4765,3.4765,0,22.1,22.4,22.1,22.7,19.21,0.0,13.91
11/08/2021/18/15/50,4,4,15.05,3.4752,3.4789,3.4766,3.4766,0,22.1,22.7,22.1,22.7,19.26,0.0,13.91
11/08/2021/18/16/00,4,4,15.02,3.4753,3.4791,3.4766,3.4768,0,22.1,22.7,22.4,23,19.28,0.0,13.91
11/08/2021/18/16/10,4,4,15.13,3.4755,3.4792,3.4768,3.4769,0,22.1,22.4,22.1,23,19.25,0.0,13.91
11/08/2021/18/16/20,4,4,15.13,3.4756,3.4792,3.4769,3.4771,0,22.1,22.7,22.4,23,19.25,0.0,13.91
11/08/2021/18/16/30,4,4,15.07,3.4757,3.4794,3.477,3.4771,0,22.7,22.4,22.4,22.7,19.28,0.0,13.91
11/08/2021/18/16/40,4,4,15.07,3.4758,3.4795,3.4771,3.4772,0,22.7,22.7,22.4,22.4,19.29,0.0,13.91
11/08/2021/18/16/50,4,4,15.05,3.4759,3.4797,3.4773,3.4774,0,22.4,22.4,22.4,22.4,19.3,0.0,13.91
